target,rows,cv_mae,model_path
25yr_savings,7,206169725.71425548,pv_model_outputs/rf_25yr_savings.pkl
capacity,7,7.345861111111103,pv_model_outputs/rf_capacity.pkl
co2,7,9.758076075000007,pv_model_outputs/rf_co2.pkl
lcoe,7,181.47634075192005,pv_model_outputs/rf_lcoe.pkl
