S/N,Institution / Case Study      A,State / Location B,initial cost of investment/ - C,existing Pv system. Size/capacity,Annual energy consumption from the grid (kWh)            D,annual Energy Generation from Pv system(KWh)            E,percentage %                       F,Electricity tarrif (₦)/KWh              G,Cost of energy consumed from the Grid kWh/year (₦)      = G*D                           H,annual cost of energy produced by Pv system                J,cost of maintenance= 1% of J                       K ,net Annual costof energy produced by Pv system    =J-K                  L,Payback  period -Yrs (M) = C/L,NGAF Nigeria (N) KgCO2e/kWh,Annual Reduced carbon KgCO2e/kWh  (P) = N*E,Reduced carbon emission  (tonnes) (Q) P/1000,total lifecycle Reduced carbon emission  (tonnes),LCC at 25yrs-(N)         (R) ,total life time energy production (KWh)  E*25(S),LCOE-N/unit (T),Cost of energy consumed from the Grid kWh/30yrs (₦)      ( U),Savings at 25yrs lifespan -(₦) -(V)           (J-K)
2,,,80206550,60.0,111765.06,99864.00000000001,89.35171689613911,209.5,23414780.07,20634912.0,206349.12,20428562.88,3.9261963982069403,0.5346,53387.294400000006,53.38729440000001,1334.6823600000002,909655031.7617075,2496600.0000000005,364.3575389576654,702443402.1,-207211629.66170752
1,,,33000500,37.5,172726.2,49822.5,28.844784404450508,209.5,36186138.900000006,10294830.0,102948.3,10191881.7,3.2379202360639647,0.5346,26635.1085,26.635108499999998,665.8777124999999,395070779.69966006,1245562.5,317.1826220680697,1085584167.0000002,690513387.3003402
5,,,37822600,28.8,36921.06,52560.0,142.35777629353004,209.5,7734962.069999999,10860480.0,108604.8,10751875.2,3.517767765756805,0.5346,28098.575999999997,28.098575999999998,702.4644,404672271.04902226,1314000.0,307.9697648774903,232048862.1,-172623408.94902226
3,,,10221000,10.0,34012.08,6570.0,19.316666313850842,209.5,7125530.760000001,1357560.0,13575.6,1343984.4,7.604998986595381,0.5346,3512.3219999999997,3.5123219999999997,87.80805,105833700.42264278,164250.0,644.3452080526197,213765922.8,107932222.37735723
4,,,38624600,30.0,16730.46,87600.0,523.5958843928978,209.5,3505031.3699999996,18100800.0,181008.0,17919792.0,2.1554156432172875,0.5346,46830.96,46.83096,1170.774,256740412.00153407,2190000.0,117.23306484088315,105150941.1,-151589470.90153408
6,,,18431948,14.5,37440.0,18396.0,49.13461538461538,209.5,7843680.0,3801167.9999999995,38011.67999999999,3763156.3199999994,4.898002217457712,0.5346,9834.5016,9.8345016,245.86254,206711741.232953,459900.0,449.4710616067689,235310400.0,28598658.767046988
7,,,11606250,15.0,68499.36,14016.0,20.46150504179893,209.5,14350615.92,2896127.9999999995,28961.279999999995,2867166.7199999997,4.047985741129138,0.5346,7492.9536,7.4929536,187.32384,138386145.1305473,350400.0,394.9376287972241,430518477.6,292132332.46945274
8,,,18523000,30.0,28252.26,49275.0,174.41082589499035,209.5,5918848.47,10181700.0,101817.0,10079883.0,1.8376205358732836,0.5346,26342.414999999997,26.342414999999995,658.5603749999999,161598988.49978474,1231875.0,131.18131993894247,177565454.1,15966465.600215256
